id,antecedent_name,consequent_name,created_at,status
1117,spongebob_squarepants_(character),spongebob_squarepants,,active
1118,squidward_tentacles,spongebob_squarepants,,active
1119,patrick_star,spongebob_squarepants,,active
1124,friendship_is_magic,my_little_pony,,active
1125,taokaka,blazblue,,active
1126,princess_peach,mario_bros,,active
1128,cum_inflation,inflation,,active
1129,koopa,mario_bros,,active
1131,mario,mario_bros,,active
1132,luigi,mario_bros,,active
1133,professor_oak,pokemon_professor,,active
1134,wario,mario_bros,,active
1135,mr._game_and_watch,game_and_watch,,active
1136,kirby,kirby_(series),,active
1137,king_dedede,kirby_(series),,active
1138,brandy_harrington,brandy_and_mr._whiskers,,active
1139,olimar,pikmin,,active
1140,captain_falcon,f-zero,,active
1141,master_hand,super_smash_bros.,,active
1142,samus_aran,metroid,,active
1143,falco_lombardi,star_fox,,active
1145,captain_america,marvel,,active
1146,solid_snake,metal_gear,,active
1147,mutio,blue_submarine_no._6,,active
1148,kefkafloyd,avoid_posting,,active
1149,tentacle_rape,rape,,active
1150,julie_bruin,tiny_toon_adventures,,active
1151,rei_ayanami,neon_genesis_evangelion,,active
1153,misato_katsuragi,neon_genesis_evangelion,,active
1154,noel_vermillion,blazblue,,active
1157,ino_yamanaka,naruto,,active
1158,naruto_uzumaki,naruto,,active
1160,gabu,one_stormy_night,,active
1162,pokemon_trainer,pokemon,,active
1163,goomba,mario_bros,,active
1164,sakura_haruno,naruto,,active
1165,neji_hyuga,naruto,,active
1166,sasuke_uchiha,naruto,,active
1167,sally_acorn,sonic_the_hedgehog_(archie),,deleted
1168,fujiwara_no_mokou,touhou,,active
1169,kaguya_houraisan,touhou,,active
1170,tewi_inaba,touhou,,active
1171,keine_kamishirasawa,touhou,,active
1172,reisen_udongein_inaba,touhou,,active
1173,eirin_yagokoro,touhou,,active
1174,rinnosuke_morichika,touhou,,active
1175,yukari_yakumo,touhou,,active
1176,ran_yakumo,touhou,,active
1178,cirno,touhou,,active
1179,letty_whiterock,touhou,,active
1180,sakuya_izayoi,touhou,,active
1181,suika_ibuki,touhou,,active
1183,kanako_yasaka,touhou,,active
1184,reimu_hakurei,touhou,,active
1185,marisa_kirisame,touhou,,active
1186,nazrin,touhou,,active
1187,rin_kaenbyou,touhou,,active
1188,aya_shameimaru,touhou,,active
1189,momiji_inubashiri,touhou,,active
1190,alice_margatroid,touhou,,active
1191,youmu_konpaku,touhou,,active
1192,wriggle_nightbug,touhou,,active
1193,mystia_lorelei,touhou,,active
1195,suwako_moriya,touhou,,active
1196,yamame_kurodani,touhou,,active
1198,licking_own_lips,licking_lips,,active
1200,breasts_frottage,breast_squish,,active
1201,cunnilingus,vaginal,,active
1203,breast_lick,licking,,active
1204,ratchet_(disambiguation),ratchet_and_clank,,deleted
1205,twilight_sparkle_(mlp),friendship_is_magic,,active
1206,fluttershy_(mlp),friendship_is_magic,,active
1207,pinkie_pie_(mlp),friendship_is_magic,,active
1208,rarity_(mlp),friendship_is_magic,,active
1209,applejack_(mlp),friendship_is_magic,,active
1210,rainbow_dash_(mlp),friendship_is_magic,,active
1212,princess_celestia_(mlp),friendship_is_magic,,active
1213,princess_luna_(mlp),friendship_is_magic,,active
1214,derpy_hooves_(mlp),friendship_is_magic,,active
1215,trixie_(mlp),friendship_is_magic,,active
1216,big_macintosh_(mlp),friendship_is_magic,,active
1219,scootaloo_(mlp),friendship_is_magic,,active
1222,nightmare_moon_(mlp),friendship_is_magic,,active
1223,sweetie_belle_(mlp),friendship_is_magic,,active
1225,zecora_(mlp),friendship_is_magic,,active
1226,gilda_(mlp),friendship_is_magic,,active
1228,vinyl_scratch_(mlp),friendship_is_magic,,active
1229,spitfire_(mlp),friendship_is_magic,,active
1230,doctor_whooves_(mlp),friendship_is_magic,,active
1231,gummy_(mlp),friendship_is_magic,,active
1232,bonbon_(mlp),friendship_is_magic,,active
1233,royal_guard_(mlp),friendship_is_magic,,active
1234,cheerilee_(mlp),friendship_is_magic,,active
1235,caramel_(mlp),friendship_is_magic,,active
1236,snails_(mlp),friendship_is_magic,,active
1237,pegasi_guard_(mlp),friendship_is_magic,,active
1239,lotus_(mlp),friendship_is_magic,,active
1240,snips_(mlp),friendship_is_magic,,active
1241,soarin_(mlp),friendship_is_magic,,active
1242,winona_(mlp),friendship_is_magic,,active
1243,octavia_(mlp),friendship_is_magic,,active
1244,angel_(mlp),friendship_is_magic,,active
1245,carrot_top_(mlp),friendship_is_magic,,active
1246,dinky_hooves_(mlp),friendship_is_magic,,active
1249,spitfire_(mlp),wonderbolts_(mlp),,active
1250,soarin_(mlp),wonderbolts_(mlp),,active
1251,artica_lagopus,extinctioners,,active
1252,scarlet_ann_starfox,extinctioners,,active
